"id","instrument","ctime","timeid","open","high","low","close","volume"
914688,"BTC/USD","2017-06-07 02:34:31",201706061934,2831.3,2832.9,2831.3,2832.9,36910
914821,"BTC/USD","2017-06-07 02:35:04",201706061935,2832.2,2832.8,2832.2,2832.8,36721
915050,"BTC/USD","2017-06-07 02:36:08",201706061936,2832.9,2832.9,2828.5,2828.5,36617
915180,"BTC/USD","2017-06-07 02:37:03",201706061937,2828.81,2831.4,2828.81,2830.2,36489
915288,"BTC/USD","2017-06-07 02:38:07",201706061938,2830.2,2831.9,2830.2,2831.9,36430
915407,"BTC/USD","2017-06-07 02:39:03",201706061939,2831.8,2836.1,2828.7,2836.1,36419
915555,"BTC/USD","2017-06-07 02:40:07",201706061940,2836.1,2839.1,2835.5,2835.5,36375
915750,"BTC/USD","2017-06-07 02:41:03",201706061941,2835.5,2835.5,2831.4,2834.4,36301
915920,"BTC/USD","2017-06-07 02:42:00",201706061942,2834.3,2834.3,2830.3,2833.1,36271
916141,"BTC/USD","2017-06-07 02:43:03",201706061943,2831,2832.8,2831,2832.6,36241
916317,"BTC/USD","2017-06-07 02:44:07",201706061944,2832.6,2832.9,2831.1,2832.9,35904
916441,"BTC/USD","2017-06-07 02:45:03",201706061945,2832.8,2832.8,2830.1,2830.1,35799
916539,"BTC/USD","2017-06-07 02:46:00",201706061946,2830.1,2832,2828.5,2830.3,35760
916670,"BTC/USD","2017-06-07 02:47:03",201706061947,2827.8,2831.3,2827.8,2827.91,35729
916812,"BTC/USD","2017-06-07 02:48:07",201706061948,2830.7,2830.7,2827.68,2830,35703
916922,"BTC/USD","2017-06-07 02:49:03",201706061949,2827.6,2830,2827.6,2829.9,35645
917082,"BTC/USD","2017-06-07 02:50:07",201706061950,2829.8,2830,2829.8,2830,35585
917217,"BTC/USD","2017-06-07 02:51:03",201706061951,2829.3,2830,2829.3,2830,35501
917408,"BTC/USD","2017-06-07 02:52:07",201706061952,2829.9,2830,2829.9,2830,35444
917517,"BTC/USD","2017-06-07 02:53:03",201706061953,2830,2830,2830,2830,35442
917678,"BTC/USD","2017-06-07 02:54:07",201706061954,2830,2830,2830,2830,35415
917810,"BTC/USD","2017-06-07 02:55:03",201706061955,2830,2835.8,2830,2835.4,35406
917944,"BTC/USD","2017-06-07 02:56:07",201706061956,2832.4,2835.2,2831.5,2832.4,35375
918074,"BTC/USD","2017-06-07 02:57:03",201706061957,2832.4,2832.4,2832.3,2832.3,35343
918183,"BTC/USD","2017-06-07 02:58:00",201706061958,2832.4,2832.9,2832.4,2832.9,35200
918418,"BTC/USD","2017-06-07 02:59:03",201706061959,2833,2833,2832.3,2832.3,35057
918628,"BTC/USD","2017-06-07 03:00:07",201706062000,2835.7,2835.7,2835.7,2835.7,34891
918755,"BTC/USD","2017-06-07 03:01:04",201706062001,2835.7,2835.7,2835.7,2835.7,34554
918903,"BTC/USD","2017-06-07 03:02:00",201706062002,2835.7,2835.7,2835.7,2835.7,34394
919014,"BTC/USD","2017-06-07 03:03:04",201706062003,2835.7,2839.8,2835.7,2839.8,34201
919110,"BTC/USD","2017-06-07 03:04:07",201706062004,2839.8,2841.1,2839.8,2841.1,34114
919200,"BTC/USD","2017-06-07 03:05:04",201706062005,2841.4,2846,2841.4,2846,34015
919270,"BTC/USD","2017-06-07 03:06:07",201706062006,2840.4,2844.36,2839.7,2842.5,33932
919410,"BTC/USD","2017-06-07 03:07:04",201706062007,2842.5,2845.4,2842.5,2845.4,33811
919508,"BTC/USD","2017-06-07 03:08:01",201706062008,2844,2845.4,2844,2845.4,33667
919598,"BTC/USD","2017-06-07 03:09:03",201706062009,2845.4,2845.4,2839.7,2842.4,33502
919685,"BTC/USD","2017-06-07 03:10:00",201706062010,2843.1,2843.1,2837.1,2837.1,33327
919781,"BTC/USD","2017-06-07 03:11:03",201706062011,2837.7,2838.3,2836.3,2836.3,33261
919864,"BTC/USD","2017-06-07 03:12:07",201706062012,2836.3,2839.7,2836.3,2839.7,33219
919913,"BTC/USD","2017-06-07 03:13:03",201706062013,2839.7,2839.7,2839.7,2839.7,33179
919974,"BTC/USD","2017-06-07 03:14:00",201706062014,2841.52,2842.4,2839.7,2839.8,33164
920086,"BTC/USD","2017-06-07 03:15:03",201706062015,2839.7,2841.63,2839.7,2839.7,33027
920182,"BTC/USD","2017-06-07 03:16:07",201706062016,2839.7,2840.1,2839.7,2840.1,32996
